scene 	 instruction 	 expected_object 	 expected_affordance 	 actual_object 	 actual_affordance 	 success
FloorPlan10	open microwave place apple inside shut door open door take out apple shut door	heat	apple	heat	apple	True
FloorPlan10	carry apple turn to left then left again to face trash can	go	garbagecan	go	garbagecan	True
FloorPlan10	place apple in trash can on floor	put	garbagecan	put	garbagecan	True
FloorPlan10	walk forward bit to garbage bin on your left	go	garbagecan	go	garbagecan	True
FloorPlan10	grab apple out garbage bin	pick	apple	pick	apple	True
FloorPlan10	turn left walk to kitchen stove at near end right side room then look up at microwave above stove	go	microwave	go	countertop	False
FloorPlan10	place apple inside microwave cook it then take it back out	heat	apple	heat	apple	True
FloorPlan10	turn left walk to fridge on right side room but then turn left to walk to garbage bin again up ahead on floor	go	garbagecan	go	fridge	False
FloorPlan10	place apple inside garbage bin	put	garbagecan	put	garbagecan	True
FloorPlan10	turn left go to front trash can	go	garbagecan	go	garbagecan	True
FloorPlan10	pick up apple on right in trash can	pick	apple	pick	apple	True
FloorPlan10	turn left then go right to stove	go	microwave	go	stoveknob	False
FloorPlan10	put apple in microwave above stove cook apple then take it out	heat	apple	heat	apple	True
FloorPlan10	turn left go to fridge turn left again go to trash can	go	garbagecan	put	garbagecan	False
FloorPlan10	put cooked apple in trash can next to other apple	put	garbagecan	put	garbagecan	True
FloorPlan10	move around trash can in front you face trash can by end island	go	garbagecan	go	garbagecan	True
FloorPlan10	pick up apple on right side trash can	pick	apple	pick	apple	True
FloorPlan10	turn left go to fridge turn right go to stove turn left bring apple to microwave stove	go	microwave	go	microwave	True
FloorPlan10	heat apple in microwave stove	heat	apple	heat	apple	True
FloorPlan10	take heated apple from microwave head back around island to left face trash can	go	garbagecan	go	garbagecan	True
FloorPlan10	put apple in right side trash can	put	garbagecan	put	garbagecan	True
FloorPlan10	go across room to kitchen then go to sink on right side	go	sinkbasin	go	cabinet	False
FloorPlan10	pick up egg that beside fork in sink	pick	egg	pick	egg	True
FloorPlan10	move across kitchen to refrigerator	go	fridge	go	fridge	True
FloorPlan10	open refrigerator then place egg on glass shelf close fridge wait then open fridge pick up egg then close fridge	cool	egg	put	fridge	False
FloorPlan10	move across kitchen to sink	go	sinkbasin	go	sinkbasin	True
FloorPlan10	put egg in sink beside fork	put	sinkbasin	put	sinkbasin	True
FloorPlan10	go straight across room then right to go around island find sink on right	go	sinkbasin	go	countertop	False
FloorPlan10	pick up egg in back sink	pick	egg	pick	egg	True
FloorPlan10	take egg turn right to find fridge on right	go	fridge	go	fridge	True
FloorPlan10	place egg inside fridge then open door take out egg shut fridge door	cool	egg	pick	potato	False
FloorPlan10	take egg turn right then right again at sink	go	sinkbasin	go	egg	False
FloorPlan10	place egg back into sink	put	sinkbasin	put	sinkbasin	True
FloorPlan10	turn right walk to fridge turn right walk to kitchen sink	go	sinkbasin	go	countertop	False
FloorPlan10	pick up brown egg in sink	pick	egg	pick	potato	False
FloorPlan10	turn to right walk to fridge	go	fridge	go	fridge	True
FloorPlan10	open fridge put egg on shelf with green vegetable close door wait open door pick up egg again	cool	egg	pick	egg	False
FloorPlan10	turn right walk straight turn right at sink face sink	go	sinkbasin	go	apple	False
FloorPlan10	put egg in sink	put	sinkbasin	put	sinkbasin	True
FloorPlan10	turn around walk forward turn to left to face counter top	go	countertop	go	countertop	True
FloorPlan10	pick up egg on counter top behind trophy	pick	egg	pick	egg	True
FloorPlan10	turn around face refrigerator open refrigerator door	go	fridge	go	fridge	True
FloorPlan10	place egg inside refrigerator by tomato close door then open door pick egg up	cool	egg	pick	egg	False
FloorPlan10	turn to right walk forward turn to right to face sink	go	sinkbasin	go	countertop	False
FloorPlan10	place egg in sink in front white bowl	put	sinkbasin	put	sinkbasin	True
FloorPlan10	turn around stand in front toaster	go	countertop	go	drawer	False
FloorPlan10	pick up egg to right toaster	pick	egg	pick	egg	True
FloorPlan10	turn left go to fridge	go	fridge	go	fridge	True
FloorPlan10	chill egg pick it up again	cool	egg	heat	egg	False
FloorPlan10	turn right then go to sink on your right	go	sinkbasin	go	countertop	False
FloorPlan10	put egg in sink	put	sinkbasin	put	sinkbasin	True
FloorPlan10	turn around walk forward before turning left to face statue	go	countertop	go	drawer	False
FloorPlan10	pick up an egg from off kitchen counter	pick	egg	pick	potato	False
FloorPlan10	turn to your left maneuver to face fridge	go	fridge	go	fridge	True
FloorPlan10	open fridge put egg in to chill for few second then take it back out	cool	egg	pick	egg	False
FloorPlan10	turn right walk into kitchen until you face sink	go	sinkbasin	go	countertop	False
FloorPlan10	place cold egg in sink	put	sinkbasin	put	sinkbasin	True
FloorPlan10	turn around go toward fridge then turn right then go straight then turn right to face sink	go	sinkbasin	go	coffeemachine	False
FloorPlan10	take egg from in sink	pick	egg	pick	egg	True
FloorPlan10	go to fridge behind you	go	fridge	go	fridge	True
FloorPlan10	chill egg inside fridge	cool	egg	go	potato	False
FloorPlan10	return to sink behind you	go	sinkbasin	go	countertop	False
FloorPlan10	place egg in sink next to right most tomato	put	sinkbasin	put	sinkbasin	True
FloorPlan10	go to right then turn right to find sink in island	go	sinkbasin	go	cabinet	False
FloorPlan10	pick up egg from sink	pick	egg	pick	egg	True
FloorPlan10	take egg turn right to find fridge	go	fridge	go	fridge	True
FloorPlan10	place egg inside fridge shut door open door take egg out shut door	cool	egg	pick	potato	False
FloorPlan10	take egg turn right to go back to sink	go	sinkbasin	go	countertop	False
FloorPlan10	place egg in sink	put	sinkbasin	put	sinkbasin	True
FloorPlan10	cross kitchen go between counter stove then turn to right face sink	go	sinkbasin	go	countertop	False
FloorPlan10	pick up egg from in sink	pick	egg	pick	egg	True
FloorPlan10	bring egg with you to go face white fridge	go	fridge	go	fridge	True
FloorPlan10	open fridge put egg inside close door let it get cool then take egg back out fridge	cool	egg	pick	egg	False
FloorPlan10	bring egg with you go back to face sink	go	sinkbasin	go	cabinet	False
FloorPlan10	put egg back in sink	put	sinkbasin	put	sinkbasin	True
FloorPlan219	move to left side tan sofa where credit card	go	sofa	go	sofa	True
FloorPlan219	pick up credit card on top sofa	pick	creditcard	go	creditcard	False
FloorPlan219	carry credit card to left corner room facing floor lamp	go	floorlamp	go	floorlamp	True
FloorPlan219	turn on lamp	toggle	floorlamp	toggle	floorlamp	True
FloorPlan219	walk to face couch	go	sofa	go	sofa	True
FloorPlan219	pick up red credit card from couch	pick	creditcard	pick	creditcard	True
FloorPlan219	walk left to face lamp	go	floorlamp	go	floorlamp	True
FloorPlan219	turn on lamp near couch	toggle	floorlamp	toggle	floorlamp	True
FloorPlan219	turn around walk forward to face card on left end couch	go	sofa	go	sidetable	False
FloorPlan219	pick up card on couch	pick	creditcard	pick	creditcard	True
FloorPlan219	look to left to face lamp in corner room	go	floorlamp	go	floorlamp	True
FloorPlan219	cut on lamp to examine card	toggle	floorlamp	go	floorlamp	False
FloorPlan219	turn left walk to white couch on right	go	sofa	go	sofa	True
FloorPlan219	pick up red credit card from right couch cushion	pick	creditcard	pick	creditcard	True
FloorPlan219	turn left walk to tall lamp in corner on right	go	floorlamp	go	floorlamp	True
FloorPlan219	turn on tall lamp	toggle	floorlamp	toggle	floorlamp	True
FloorPlan219	turn left walk straight then turn right towards couch	go	sofa	go	sofa	True
FloorPlan219	pick up credit card off couch	pick	creditcard	pick	creditcard	True
FloorPlan219	turn left then walk straight then turn right towards couch look up	go	floorlamp	go	cabinet	False
FloorPlan219	turn lamp on by couch	toggle	floorlamp	toggle	floorlamp	True
FloorPlan219	turn to left then right to face right side couch	go	sofa	go	sofa	True
FloorPlan219	pick red credit card up from couch	pick	creditcard	pick	creditcard	True
FloorPlan219	turn to left stand on left side couch near floor lamp	go	floorlamp	put	sofa	False
FloorPlan219	turn lamp on	toggle	floorlamp	toggle	floorlamp	True
FloorPlan219	move left then face right side large tan couch	go	sofa	go	sofa	True
FloorPlan219	pick up red credit card on top couch	pick	creditcard	pick	creditcard	True
FloorPlan219	carry credit card to lamp in corner room	go	floorlamp	go	floorlamp	True
FloorPlan219	turn on lamp	toggle	floorlamp	toggle	floorlamp	True
FloorPlan219	turn left walk towards blue chair then turn right to face couch	go	sofa	go	sofa	True
FloorPlan219	pick up red credit card off couch	pick	creditcard	pick	creditcard	True
FloorPlan219	turn left walk to blue chair then turn right to face tall lamp in corner room	go	floorlamp	go	floorlamp	True
FloorPlan219	turn on light tall lamp	toggle	floorlamp	toggle	floorlamp	True
FloorPlan219	turn left take step then turn right face couch	go	sofa	go	sofa	True
FloorPlan219	pick up red credit card that sitting on couch	pick	creditcard	pick	creditcard	True
FloorPlan219	turn left walk to blue chair then turn right face couch tall floor lamp	go	floorlamp	go	floorlamp	True
FloorPlan219	turn on lamp	toggle	floorlamp	toggle	floorlamp	True
FloorPlan424	turn to left to face toilet	go	toilet	go	toilet	True
FloorPlan424	pick up bar soap from back toilet	pick	soapbar	pick	soapbar	True
FloorPlan424	move to left to face sink to left toilet	go	sinkbasin	go	cabinet	False
FloorPlan424	put bar soap in to sink turn on faucet to rinse off soap pick up soap out sink	clean	soapbar	pick	soapbar	False
FloorPlan424	move back slightly from sink	go	cabinet	go	countertop	False
FloorPlan424	open left cabinet door below sink on right put bar soap in to cabinet close door	put	cabinet	put	cabinet	True
FloorPlan424	turn to left face toilet	go	toilet	go	toilet	True
FloorPlan424	pick soap up from back toilet	pick	soapbar	pick	soapbottle	False
FloorPlan424	go to left face sink on right	go	sinkbasin	go	sinkbasin	True
FloorPlan424	put soap in sink turn water on then off pick up soap again	clean	soapbar	pick	soapbottle	False
FloorPlan424	move back turn to face cabinet under sink	go	cabinet	go	cabinet	True
FloorPlan424	put soap in cabinet under sink on left	put	cabinet	put	cabinet	True
FloorPlan424	turn left walk to sink	go	toilet	go	countertop	False
FloorPlan424	pick up bar soap that s in front you to right on back toilet	pick	soapbar	pick	soapbar	True
FloorPlan424	take step to your left then step backwards	go	sinkbasin	go	showerglass	False
FloorPlan424	get soap wet in sink then pick it back up shut off water	clean	soapbar	pick	handtowel	False
FloorPlan424	back up step so you can use cupboard under sink	go	cabinet	go	cabinet	True
FloorPlan424	open cupboard below left side right sink put soap down there close door	put	cabinet	put	cabinet	True
FloorPlan424	walk up to right side sink counter	go	toilet	go	countertop	False
FloorPlan424	pick up bar soap off toilet tank to your right	pick	soapbar	pick	soapbar	True
FloorPlan424	walk to rightmost sink	go	sinkbasin	go	countertop	False
FloorPlan424	put bar soap in sink turn on water after couple second turn water off remove now clean bar soap	clean	soapbar	pick	soapbar	False
FloorPlan424	turn around walk towards wall then turn left walk towards shower turn left again to face counter	go	cabinet	go	showerglass	False
FloorPlan424	open second cabinet door from right below counter put clean bar soap inside then close cabinet	put	cabinet	put	countertop	False
FloorPlan424	move forward to toilet	go	toilet	go	toilet	True
FloorPlan424	pick up soap on toilet	pick	soapbar	pick	soapbottle	False
FloorPlan424	bring soap to right sink	go	sinkbasin	go	countertop	False
FloorPlan424	wash soap in right sink	clean	soapbar	cool	soapbottle	False
FloorPlan424	bring washed soap to cabinet under right sink	go	cabinet	go	cabinet	True
FloorPlan424	put washed soap in left cabinet under right sink	put	cabinet	put	cabinet	True
FloorPlan424	walk forward to sink counter	go	toilet	go	countertop	False
FloorPlan424	pick up soap on right side sink counter	pick	soapbar	pick	soapbottle	False
FloorPlan424	turn left then face sink	go	sinkbasin	go	countertop	False
FloorPlan424	put soap in sink rinse it	clean	soapbar	cool	soapbottle	False
FloorPlan424	turn around to your right then move little	go	cabinet	go	showerglass	False
FloorPlan424	open cabinet on your left put it soap	put	cabinet	put	cabinet	True
FloorPlan424	turn around to face counter between two sink	go	countertop	go	countertop	True
FloorPlan424	pick up bar soap that on back counter between two sink	pick	soapbar	pick	soapbar	True
FloorPlan424	move to right to face sink on right	go	sinkbasin	go	sinkbasin	True
FloorPlan424	put bar soap in to sink turn on water to rinse off soap turn off water remove soap from sink	clean	soapbar	go	soapbar	False
FloorPlan424	move back slightly away from sink	go	cabinet	go	cabinet	True
FloorPlan424	open left cabinet door below sink on right put bar soap in to cabinet close door	put	cabinet	put	cabinet	True
FloorPlan424	turn around to face counter	go	countertop	go	countertop	True
FloorPlan424	pick up bar soap off counter	pick	soapbar	pick	soapbar	True
FloorPlan424	turn around walk towards door then turn left walk forward turn left again to face sink	go	sinkbasin	put	countertop	False
FloorPlan424	put bar soap in right sink basin turn on water after couple second turn water off remove now clean bar soap	clean	soapbar	go	soapbar	False
FloorPlan424	turn around walk towards wall then turn left walk towards shower turn left again to face counter	go	cabinet	go	showerglass	False
FloorPlan424	open second cabinet door from right put clean bar soap inside cabinet then close door	put	cabinet	put	cabinet	True
FloorPlan424	turn around facing sink	go	countertop	go	countertop	True
FloorPlan424	pick up bar soap	pick	soapbar	pick	soapbar	True
FloorPlan424	turn around take one step turn left take one step turn left facing sink	go	sinkbasin	put	countertop	False
FloorPlan424	put soap in sink turn water on turn water off remove soap from sink	clean	soapbar	pick	soapbar	False
FloorPlan424	turn around take one step turn around	go	cabinet	go	cabinet	True
FloorPlan424	open cupboard below sink put soap inside close cupboard below sink	put	cabinet	put	cabinet	True
FloorPlan10	turn right walk forward turn left to face sink	go	sinkbasin	go	cabinet	False
FloorPlan10	pick up tomato that in sink	pick	tomato	pick	tomato	True
FloorPlan10	turn right walk forward turn right to face fridge	go	fridge	go	fridge	True
FloorPlan10	put tomato in fridge wait minute take tomato out	cool	tomato	heat	tomato	False
FloorPlan10	turn right walk forward turn left to face stove	go	microwave	go	stoveknob	False
FloorPlan10	put tomato in microwave above stove	put	microwave	put	microwave	True
FloorPlan10	take step right face sink	go	sinkbasin	go	cabinet	False
FloorPlan10	pick up tomato in sink	pick	tomato	pick	tomato	True
FloorPlan10	turn right walk to fridge	go	fridge	go	fridge	True
FloorPlan10	place tomato in fridge to right plate close door wait moment take it out again	cool	tomato	heat	tomato	False
FloorPlan10	turn right walk to stove microwave on left	go	microwave	go	microwave	True
FloorPlan10	place tomato in microwave	put	microwave	put	microwave	True
FloorPlan10	move right to sink	go	sinkbasin	go	cabinet	False
FloorPlan10	pick up tomato in sink	pick	tomato	pick	tomato	True
FloorPlan10	head right to fridge	go	fridge	go	fridge	True
FloorPlan10	cool tomato for some time take it out	cool	tomato	heat	tomato	False
FloorPlan10	heat right to microwave oven	go	microwave	go	microwave	True
FloorPlan10	place tomato in microwave oven	put	microwave	put	microwave	True
FloorPlan10	walk ahead veer left after getting to counter on left walk to sink on left counter	go	sinkbasin	go	cabinet	False
FloorPlan10	pick up tomato in sink	pick	tomato	pick	tomato	True
FloorPlan10	turn right walk to fridge	go	fridge	go	fridge	True
FloorPlan10	place tomato in fridge in front center brown bowl close door wait moment take it out again	cool	tomato	heat	tomato	False
FloorPlan10	turn right walk to stove facing it	go	microwave	go	stoveknob	False
FloorPlan10	place tomato in microwave above stove	put	microwave	put	microwave	True
FloorPlan10	walk around kitchen island face sink	go	sinkbasin	go	countertop	False
FloorPlan10	pick up tomato from sink	pick	tomato	pick	tomato	True
FloorPlan10	turn right walk to fridge on right	go	fridge	go	fridge	True
FloorPlan10	open fridge door put tomato inside fridge close door open door take tomato out close door	cool	tomato	pick	tomato	False
FloorPlan10	turn right walk to stove on left look up at microwave	go	microwave	go	microwave	True
FloorPlan10	open microwave door put tomato inside close door	put	microwave	put	microwave	True
FloorPlan10	go to sink	go	sinkbasin	go	countertop	False
FloorPlan10	pick up tomato from sink	pick	tomato	pick	tomato	True
FloorPlan10	take tomato to fridge	go	fridge	go	fridge	True
FloorPlan10	chill tomato in fridge then remove	cool	tomato	cool	tomato	True
FloorPlan10	take tomato to microwave	go	microwave	go	microwave	True
FloorPlan10	warm tomato in microwave	put	microwave	heat	tomato	False
FloorPlan10	turn left go to black trash can	go	garbagecan	go	garbagecan	True
FloorPlan10	pick up tomato from trash can	pick	tomato	pick	tomato	True
FloorPlan10	turn around go to refrigerator	go	fridge	go	fridge	True
FloorPlan10	place tomato in refrigerator between lettuce tomato close door open door take out tomato	cool	tomato	pick	tomato	False
FloorPlan10	turn right go to microwave above sink on left	go	microwave	go	microwave	True
FloorPlan10	open door put tomato in microwave close door	put	microwave	put	microwave	True
FloorPlan10	turn left walk forward to refrigerator then turn around face garbage can on floor	go	garbagecan	go	garbagecan	True
FloorPlan10	pick up tomato from garbage can	pick	tomato	pick	tomato	True
FloorPlan10	turn around towards refrigerator	go	fridge	go	fridge	True
FloorPlan10	cool tomato in refrigerator then take it out close refrigerator	cool	tomato	pick	tomato	False
FloorPlan10	turn right walk forward to sink then turn left towards microwave above stove top	go	microwave	go	microwave	True
FloorPlan10	put tomato in microwave close microwave	put	microwave	put	microwave	True
FloorPlan10	turn left walk to black garbage that s in front you turn right to face it	go	garbagecan	go	garbagecan	True
FloorPlan10	pick up tomato that s in front you in garbage	pick	tomato	pick	tomato	True
FloorPlan10	turn right take step then turn right to face fridge	go	fridge	go	fridge	True
FloorPlan10	chill tomato in fridge then take it back out close door	cool	tomato	heat	tomato	False
FloorPlan10	turn right walk to stove that s on your left then turn left to face it	go	microwave	go	countertop	False
FloorPlan10	put tomato in microwave	put	microwave	put	microwave	True
FloorPlan10	walk to face counter behind sink	go	countertop	go	countertop	True
FloorPlan10	pick up butter knife from under sponge on counter	pick	butterknife	pick	butterknife	True
FloorPlan10	walk to face counter to left stove	go	cup	go	countertop	False
FloorPlan10	put knife into green cup on left on counter	put	cup	put	cup	True
FloorPlan10	pick up green cup from counter	pick	cup	pick	cup	True
FloorPlan10	turn to face kitchen sink	go	sinkbasin	go	sinkbasin	True
FloorPlan10	put green cup into sink basin	put	sinkbasin	put	sinkbasin	True
FloorPlan10	turn right hang left at wall walk to counter on left	go	countertop	go	countertop	True
FloorPlan10	pick up knife under green sponge on counter	pick	butterknife	pick	butterknife	True
FloorPlan10	turn around hang right at wall turn right towards fridge turn right walk to counter on left	go	cup	go	garbagecan	False
FloorPlan10	put knife inside green glass in front spatula in middle counter	put	cup	put	cup	True
FloorPlan10	pick up green glass with knife on counter	pick	cup	pick	cup	True
FloorPlan10	turn around walk to sink	go	sinkbasin	go	countertop	False
FloorPlan10	put glass with knife inside sink	put	sinkbasin	put	sinkbasin	True
FloorPlan10	turn right to move around island to stand facing counter centered between two chair	go	countertop	go	countertop	True
FloorPlan10	pick up butter knife from beneath sponge	pick	butterknife	pick	butterknife	True
FloorPlan10	turn left to move around to other side island stop facing counter above dishwasher	go	cup	go	countertop	False
FloorPlan10	place knife in green cup closest to wall behind counter	put	cup	put	cup	True
FloorPlan10	pick up cup with knife in it from counter	pick	cup	pick	mug	False
FloorPlan10	turn around face sink	go	sinkbasin	go	countertop	False
FloorPlan10	place cup with knife inside in sink	put	sinkbasin	put	mug	False
FloorPlan10	turn around walk towards refrigerator turn right go to stove look up at microwave	go	microwave	go	microwave	True
FloorPlan10	look in microwave remove green cup	pick	cup	pick	cup	True
FloorPlan10	turn around go to sink to your left	go	sinkbasin	go	sink	False
FloorPlan10	put green cup in sink	put	sinkbasin	put	mug	False
FloorPlan10	pick up knife in sink	pick	butterknife	pick	butterknife	True
FloorPlan10	place knife inside green cup	put	cup	put	cup	True
FloorPlan10	go to microwave	go	microwave	go	drawer	False
FloorPlan10	take out green cup	pick	cup	pick	cup	True
FloorPlan10	take cup to sink	go	sinkbasin	go	cabinet	False
FloorPlan10	put cup in sink	put	sinkbasin	put	mug	False
FloorPlan10	pick up knife from sink on left	pick	butterknife	pick	knife	False
FloorPlan10	put knife back in sink on right	put	cup	put	sinkbasin	False
FloorPlan10	walk to face microwave	go	microwave	go	countertop	False
FloorPlan10	remove green cup from microwave	pick	cup	pick	cup	True
FloorPlan10	walk to face sink	go	sinkbasin	go	countertop	False
FloorPlan10	put green cup in sink	put	sinkbasin	put	mug	False
FloorPlan10	pick up butter knife from sink	pick	butterknife	pick	butterknife	True
FloorPlan10	put butter knife into green cup inside sink	put	cup	put	cup	True
FloorPlan10	go toward fridge turn right move forward then turn left to face sink	go	sinkbasin	go	sinkbasin	True
FloorPlan10	pick up butter knife in sink	pick	butterknife	pick	butterknife	True
FloorPlan10	turn left go to wall then turn left look up to cabinet	go	cup	go	cabinet	False
FloorPlan10	open cabinet put butter knife in rightmost cup	put	cup	put	cup	True
FloorPlan10	take rightmost cup from cabinet	pick	cup	pick	cup	True
FloorPlan10	turn left move forward then turn left to face sink	go	sinkbasin	go	countertop	False
FloorPlan10	put cup in sink	put	sinkbasin	put	mug	False
FloorPlan10	turn walk to sink on right	go	sinkbasin	go	cabinet	False
FloorPlan10	pick up butter knife from sink	pick	butterknife	pick	butterknife	True
FloorPlan10	turn left turn left at window face counter with coffee maker on it look above counter at cabinet	go	cup	go	countertop	False
FloorPlan10	open both cabinet door put knife down in glass on right	put	cup	put	cup	True
FloorPlan10	pick up glass from cabinet close door	pick	cup	pick	cup	True
FloorPlan10	turn left walk to sink on left	go	sinkbasin	go	cabinet	False
FloorPlan10	put glass inside sink	put	sinkbasin	put	sinkbasin	True
FloorPlan10	turn right move to stand in front sink	go	sinkbasin	go	sinkbasin	True
FloorPlan10	pick up butter knife from inside sink	pick	butterknife	pick	butterknife	True
FloorPlan10	turn left move to stand in front coffee maker right after stove	go	cup	go	countertop	False
FloorPlan10	open cupboard above coffee maker place knife in green cup on right	put	cup	put	cup	True
FloorPlan10	pick up cup with knife inside from cupboard	pick	cup	pick	mug	False
FloorPlan10	turn left carry cup knife to sink	go	sinkbasin	go	sink	False
FloorPlan10	place cup with knife inside in sink	put	sinkbasin	put	mug	False
FloorPlan308	go to desk directly behind you	go	desk	go	shelf	False
FloorPlan308	pick up disc from left front corner desk	pick	cd	pick	cd	True
FloorPlan308	turn right carry disc to white safe in corner to your left	go	safe	go	safe	True
FloorPlan308	put disc in safe	put	safe	put	safe	True
FloorPlan308	return to desk	go	desk	go	desk	True
FloorPlan308	get disc from far right side desk	pick	cd	pick	cd	True
FloorPlan308	carry disc to corner safe	go	safe	go	safe	True
FloorPlan308	put disc into safe close safe	put	safe	put	safe	True
FloorPlan308	turn right towards window turn right towards desk	go	desk	go	desk	True
FloorPlan308	pick up cd from desk	pick	cd	pick	cd	True
FloorPlan308	turn right towards bed turn left towards bin turn right towards vault on your left	go	safe	go	bed	False
FloorPlan308	place cd in vault	put	safe	put	safe	True
FloorPlan308	turn left towards bed then turn right towards desk	go	desk	go	drawer	False
FloorPlan308	pick up cd from desk	pick	cd	pick	cd	True
FloorPlan308	turn right towards bed turn left towards bin turn right towards vault on your left	go	safe	go	bed	False
FloorPlan308	place cd in vault close	put	safe	put	safe	True
FloorPlan308	move to desk closest to widow	go	desk	go	drawer	False
FloorPlan308	pick up cd from desk	pick	cd	pick	cd	True
FloorPlan308	move to safe to right you to left mirror	go	safe	go	safe	True
FloorPlan308	place cd inside close door	put	safe	put	shelf	False
FloorPlan308	move to desk closest to widow	go	desk	go	drawer	False
FloorPlan308	pick up cd from desk	pick	cd	pick	cd	True
FloorPlan308	move to safe to right you to left mirror	go	safe	put	safe	False
FloorPlan308	place cd inside close door	put	safe	put	shelf	False
FloorPlan308	turn around head to desk	go	desk	go	shelf	False
FloorPlan308	pick up cd on left	pick	cd	pick	cd	True
FloorPlan308	turn right cross room to trashcan turn left head to safe	go	safe	go	safe	True
FloorPlan308	put cd in safe	put	safe	put	safe	True
FloorPlan308	turn around head to trashcan then turn right cross room to chair	go	desk	go	bed	False
FloorPlan308	face desk pick up cd	pick	cd	pick	cd	True
FloorPlan308	turn right cross room to trashcan then turn left head to safe	go	safe	go	book	False
FloorPlan308	put cd in safe	put	safe	put	safe	True
FloorPlan308	turn around so you are next to wall facing blue chair	go	desk	go	bed	False
FloorPlan308	pick up cd off desk	pick	cd	pick	cd	True
FloorPlan308	maneuver your way to left bed so you are facing wall to left floor safe	go	safe	go	shelf	False
FloorPlan308	open safe put cd inside it before closing it again	put	safe	put	safe	True
FloorPlan308	turn back towards desk but this time stand to right where you stood last time	go	desk	go	desk	True
FloorPlan308	pick up another cd off desk	pick	cd	pick	cd	True
FloorPlan308	head back to safe	go	safe	go	safe	True
FloorPlan308	open safe put other cd inside it before closing it again	put	safe	go	cd	False
FloorPlan308	turn right head towards bed then turn right towards desk on your right	go	desk	go	drawer	False
FloorPlan308	pick up cd on desk	pick	cd	pick	cd	True
FloorPlan308	turn right towards night stand then turn left towards vault on floor	go	safe	go	safe	True
FloorPlan308	place cd in vault close it	put	safe	put	safe	True
FloorPlan308	turn left towards desk	go	desk	go	desk	True
FloorPlan308	pick up cd from desk	pick	cd	pick	cd	True
FloorPlan308	turn around towards vault	go	safe	go	safe	True
FloorPlan308	open vault place cd in it close vault	put	safe	put	safe	True
FloorPlan308	turn right go straight to bed turn right go to desk chair turn right to face desk	go	desk	go	desk	True
FloorPlan308	take cd from desk	pick	cd	pick	cd	True
FloorPlan308	turn right go straight to basket next to bed turn left go straight stop near safe	go	safe	go	garbagecan	False
FloorPlan308	open safe put cd in safe close safe	put	safe	put	safe	True
FloorPlan308	turn left go to desk	go	desk	go	window	False
FloorPlan308	take cd from desk	pick	cd	pick	cd	True
FloorPlan308	turn around go back to safe	go	safe	go	safe	True
FloorPlan308	open safe put cd in safe close safe	put	safe	put	safe	True
FloorPlan308	turn around walk to wooden desk by window	go	desk	go	shelf	False
