scene 	 instruction 	 expected_object 	 expected_affordance 	 actual_object 	 actual_affordance 	 success
FloorPlan10	turn left and walk over to the kitchen stove at the near end of the right side of the room then look up at the microwave above the stove	go	microwave	go	stoveknob	False
FloorPlan10	place the apple inside of the microwave cook it then take it back out	heat	apple	put	microwave	False
FloorPlan10	turn left and walk over to the fridge on the right side of the room but then turn left to walk over to the garbage bin again up ahead on the floor	go	garbagecan	go	fridge	False
FloorPlan10	place the apple inside of the garbage bin	put	garbagecan	put	garbagecan	True
FloorPlan10	turn left and go to the front of the trash can	go	garbagecan	go	drawer	False
FloorPlan10	pick up the apple on the right in the trash can	pick	apple	pick	apple	True
FloorPlan10	turn left and then go right to the stove	go	microwave	go	stoveknob	False
FloorPlan10	put the apple in the microwave above the stove cook the apple and then take it out	heat	apple	put	microwave	False
FloorPlan10	turn left go to the fridge and turn left again and go to the trash can	go	garbagecan	go	fridge	False
FloorPlan10	put the cooked apple in the trash can next to the other apple	put	garbagecan	put	garbagecan	True
FloorPlan10	move around the trash can in front of you face the trash can by the end of the island	go	garbagecan	go	garbagecan	True
FloorPlan10	pick up the apple on the right side of the trash can	pick	apple	pick	apple	True
FloorPlan10	turn left go to the fridge turn right go to the stove turn left and bring the apple to the microwave over the stove	go	microwave	go	fridge	False
FloorPlan10	heat the apple in the microwave over the stove	heat	apple	pick	apple	False
FloorPlan10	take the heated apple from the microwave head back around the island to the left face the trash can	go	garbagecan	go	drawer	False
FloorPlan10	put the apple in the right side of the trash can	put	garbagecan	put	garbagecan	True
FloorPlan10	go across the room to the kitchen then go to the sink on the right side	go	sinkbasin	go	fridge	False
FloorPlan10	pick up the egg that is beside the fork in the sink	pick	egg	pick	potato	False
FloorPlan10	move across the kitchen to the refrigerator	go	fridge	go	fridge	True
FloorPlan10	open the refrigerator then place the egg on the glass shelf and close the fridge wait then open the fridge and pick up the egg then close the fridge	cool	egg	go	potato	False
FloorPlan10	move across the kitchen to the sink	go	sinkbasin	go	sinkbasin	True
FloorPlan10	put the egg in the sink beside the fork	put	sinkbasin	put	sinkbasin	True
FloorPlan10	go straight across the room and then right to go around the island and find the sink on the right	go	sinkbasin	go	shelf	False
FloorPlan10	pick up the egg in the back of the sink	pick	egg	pick	potato	False
FloorPlan10	take the egg and turn right to find the fridge on the right	go	fridge	go	potato	False
FloorPlan10	place the egg inside the fridge then open the door and take out the egg shut the fridge door	cool	egg	put	fridge	False
FloorPlan10	take the egg and turn right then right again at the sink	go	sinkbasin	go	potato	False
FloorPlan10	place the egg back into the sink	put	sinkbasin	put	sinkbasin	True
FloorPlan10	turn right walk to the fridge turn right and walk to the kitchen sink	go	sinkbasin	go	fridge	False
FloorPlan10	pick up the brown egg in the sink	pick	egg	pick	potato	False
FloorPlan10	turn to the right and walk over to the fridge	go	fridge	go	fridge	True
FloorPlan10	open fridge put the egg on the shelf with the green vegetable close door wait open door pick up egg again	cool	egg	go	potato	False
FloorPlan10	turn right walk straight turn right at sink and face sink	go	sinkbasin	go	drawer	False
FloorPlan10	put egg in sink	put	sinkbasin	put	sinkbasin	True
FloorPlan10	turn around walk forward turn to the left to face the counter top	go	countertop	go	drawer	False
FloorPlan10	pick up the egg on the counter top behind the trophy	pick	egg	pick	potato	False
FloorPlan10	turn around and face the refrigerator open the refrigerator door	go	fridge	go	fridge	True
FloorPlan10	place the egg inside the refrigerator by the tomato close the door then open the door and pick the egg up	cool	egg	go	potato	False
FloorPlan10	turn to the right walk forward turn to the right to face the sink	go	sinkbasin	go	cabinet	False
FloorPlan10	place the egg in the sink in front of the white bowl	put	sinkbasin	put	sinkbasin	True
FloorPlan10	turn around and stand in front of the toaster	go	countertop	go	drawer	False
FloorPlan10	pick up the egg to the right of the toaster	pick	egg	pick	potato	False
FloorPlan10	turn left and go to the fridge	go	fridge	go	fridge	True
FloorPlan10	chill the egg and pick it up again	cool	egg	pick	potato	False
FloorPlan10	turn right and then go to the sink on your right	go	sinkbasin	go	sinkbasin	True
FloorPlan10	put the egg in the sink	put	sinkbasin	put	sinkbasin	True
FloorPlan10	turn around and walk forward before turning left to face the statue	go	countertop	go	countertop	True
FloorPlan10	pick up an egg from off of the kitchen counter	pick	egg	pick	potato	False
FloorPlan10	turn to your left and maneuver to face the fridge	go	fridge	go	countertop	False
FloorPlan10	open the fridge put the egg in to chill for a few second and then take it back out	cool	egg	go	potato	False
FloorPlan10	turn right and walk into the kitchen until you face the sink	go	sinkbasin	go	countertop	False
FloorPlan10	place the cold egg in the sink	put	sinkbasin	put	sinkbasin	True
FloorPlan10	turn around go toward the fridge then turn right then go straight then turn right to face the sink	go	sinkbasin	go	garbagecan	False
FloorPlan10	take the egg from in the sink	pick	egg	pick	potato	False
FloorPlan10	go to the fridge behind you	go	fridge	go	fridge	True
FloorPlan10	chill the egg inside of the fridge	cool	egg	go	potato	False
FloorPlan10	return to the sink behind you	go	sinkbasin	go	sinkbasin	True
FloorPlan10	place the egg in the sink next to the right most tomato	put	sinkbasin	put	sinkbasin	True
FloorPlan10	go to the right and then turn right to find the sink in the island	go	sinkbasin	go	papertowelroll	False
FloorPlan10	pick up the egg from the sink	pick	egg	pick	potato	False
FloorPlan10	take the egg and turn right to find the fridge	go	fridge	go	potato	False
FloorPlan10	place the egg inside the fridge and shut the door open the door take the egg out and shut the door	cool	egg	put	fridge	False
FloorPlan10	take the egg and turn right to go back to the sink	go	sinkbasin	go	drawer	False
FloorPlan10	place the egg in the sink	put	sinkbasin	put	sinkbasin	True
FloorPlan10	cross the kitchen go between the counter and the stove then turn to the right and face the sink	go	sinkbasin	go	countertop	False
FloorPlan10	pick up the egg from in the sink	pick	egg	pick	potato	False
FloorPlan10	bring the egg with you to go face the white fridge	go	fridge	go	countertop	False
FloorPlan10	open the fridge and put the egg inside close the door and let it get cool then take the egg back out of the fridge	cool	egg	go	potato	False
FloorPlan10	bring the egg with you and go back over to face the sink	go	sinkbasin	go	countertop	False
FloorPlan10	put the egg back in the sink	put	sinkbasin	put	sinkbasin	True
FloorPlan219	move to the left side of the tan sofa where the credit card is	go	sofa	go	sofa	True
FloorPlan219	pick up the credit card on top of the sofa	pick	creditcard	pick	creditcard	True
FloorPlan219	carry the credit card to the left corner of the room facing the floor lamp	go	floorlamp	go	shelf	False
FloorPlan219	turn on the lamp	toggle	floorlamp	toggle	floorlamp	True
FloorPlan219	walk to face couch	go	sofa	go	sofa	True
FloorPlan219	pick up red credit card from couch	pick	creditcard	pick	creditcard	True
FloorPlan219	walk left to face lamp	go	floorlamp	go	dresser	False
FloorPlan219	turn on lamp near couch	toggle	floorlamp	put	sofa	False
FloorPlan219	turn around and walk forward to face the card on the left end of the couch	go	sofa	go	sofa	True
FloorPlan219	pick up the card on the couch	pick	creditcard	pick	creditcard	True
FloorPlan219	look to the left to face the lamp in the corner of the room	go	floorlamp	go	floorlamp	True
FloorPlan219	cut on the lamp to examine the card	toggle	floorlamp	go	floorlamp	False
FloorPlan219	turn left and walk to the white couch on the right	go	sofa	go	sofa	True
FloorPlan219	pick up the red credit card from the right couch cushion	pick	creditcard	pick	creditcard	True
FloorPlan219	turn left and walk to the tall lamp in the corner on the right	go	floorlamp	go	floorlamp	True
FloorPlan219	turn on the tall lamp	toggle	floorlamp	go	floorlamp	False
FloorPlan219	turn left and walk straight then turn right towards the couch	go	sofa	go	garbagecan	False
FloorPlan219	pick up the credit card off of the couch	pick	creditcard	pick	creditcard	True
FloorPlan219	turn left then walk straight then turn right towards the couch and look up	go	floorlamp	go	garbagecan	False
FloorPlan219	turn the lamp on by the couch	toggle	floorlamp	go	floorlamp	False
FloorPlan219	turn to the left and then the right to face the right side of the couch	go	sofa	go	cabinet	False
FloorPlan219	pick the red credit card up from the couch	pick	creditcard	pick	creditcard	True
FloorPlan219	turn to the left and stand on the left side of the couch near the floor lamp	go	floorlamp	go	cabinet	False
FloorPlan219	turn the lamp on	toggle	floorlamp	go	floorlamp	False
FloorPlan219	move left then face the right side of the large tan couch	go	sofa	go	dresser	False
FloorPlan219	pick up the red credit card on top of the couch	pick	creditcard	pick	vase	False
FloorPlan219	carry the credit card to the lamp in the corner of the room	go	floorlamp	go	floorlamp	True
FloorPlan219	turn on the lamp	toggle	floorlamp	go	floorlamp	False
FloorPlan219	turn left and walk towards the blue chair then turn right to face the couch	go	sofa	go	armchair	False
FloorPlan219	pick up the red credit card off of the couch	pick	creditcard	pick	creditcard	True
FloorPlan219	turn left and walk over to the blue chair then turn right to face the tall lamp in the corner of the room	go	floorlamp	go	armchair	False
FloorPlan219	turn on the light of the tall lamp	toggle	floorlamp	go	floorlamp	False
FloorPlan219	turn left and take a step then turn right and face the couch	go	sofa	go	cabinet	False
FloorPlan219	pick up the red credit card that is sitting on the couch	pick	creditcard	pick	creditcard	True
FloorPlan219	turn left and walk to the blue chair then turn right and face the couch and the tall floor lamp	go	floorlamp	go	armchair	False
FloorPlan219	turn on the lamp	toggle	floorlamp	go	floorlamp	False
FloorPlan424	turn to the left to face the toilet	go	toilet	go	toilet	True
FloorPlan424	pick up the bar of soap from the back of the toilet	pick	soapbar	pick	soapbar	True
FloorPlan424	move to the left to face the sink to the left of the toilet	go	sinkbasin	go	countertop	False
FloorPlan424	put the bar of soap in to the sink turn on the faucet to rinse off the soap pick up the soap out of the sink	clean	soapbar	put	sinkbasin	False
FloorPlan424	move back slightly from the sink	go	cabinet	go	showerglass	False
FloorPlan424	open the left cabinet door below the sink on the right put the bar of soap in to the cabinet and close the door	put	cabinet	put	cabinet	True
FloorPlan424	turn to the left and face the toilet	go	toilet	go	toilet	True
FloorPlan424	pick the soap up from the back of the toilet	pick	soapbar	pick	soapbar	True
FloorPlan424	go to the left and face the sink on the right	go	sinkbasin	go	sinkbasin	True
FloorPlan424	put the soap in the sink and turn the water on and then off and pick up the soap again	clean	soapbar	put	sinkbasin	False
FloorPlan424	move back and turn to face the cabinet under the sink	go	cabinet	go	cabinet	True
FloorPlan424	put the soap in the cabinet under the sink and on the left	put	cabinet	put	cabinet	True
FloorPlan424	turn left and walk to the sink	go	toilet	go	cabinet	False
FloorPlan424	pick up the bar of soap that s in front of you to the right on the back of the toilet	pick	soapbar	pick	soapbar	True
FloorPlan424	take a step to your left then a step backwards	go	sinkbasin	go	countertop	False
FloorPlan424	get the soap wet in the sink and then pick it back up and shut off the water	clean	soapbar	pick	toiletpaper	False
FloorPlan424	back up a step so you can use the cupboard under the sink	go	cabinet	go	garbagecan	False
FloorPlan424	open the cupboard below the left side of the right sink and put the soap down there and close the door	put	cabinet	put	toiletpaperhanger	False
FloorPlan424	walk up to the right side of the sink counter	go	toilet	go	countertop	False
FloorPlan424	pick up the bar of soap off of the toilet tank to your right	pick	soapbar	pick	soapbar	True
FloorPlan424	walk over to the rightmost sink	go	sinkbasin	go	countertop	False
FloorPlan424	put the bar of soap in the sink and turn on the water after a couple second turn the water off and remove the now clean bar of soap	clean	soapbar	put	sinkbasin	False
FloorPlan424	turn around and walk towards the wall then turn left and walk towards the shower turn left again to face the counter	go	cabinet	go	showerglass	False
FloorPlan424	open the second cabinet door from the right below the counter and put the clean bar of soap inside then close the cabinet	put	cabinet	pick	plunger	False
FloorPlan424	move forward to the toilet	go	toilet	go	toilet	True
FloorPlan424	pick up the soap on the toilet	pick	soapbar	pick	soapbottle	False
FloorPlan424	bring the soap to the right sink	go	sinkbasin	go	sinkbasin	True
FloorPlan424	wash the soap in the right sink	clean	soapbar	cool	soapbar	False
FloorPlan424	bring the washed soap to the cabinet under the right sink	go	cabinet	go	cabinet	True
FloorPlan424	put the washed soap in the left cabinet under the right sink	put	cabinet	put	cabinet	True
FloorPlan424	walk forward to the sink counter	go	toilet	go	countertop	False
FloorPlan424	pick up the soap on the right side of sink counter	pick	soapbar	pick	toiletpaper	False
FloorPlan424	turn left then face the sink	go	sinkbasin	go	countertop	False
FloorPlan424	put the soap in the sink and rinse it	clean	soapbar	go	soapbottle	False
FloorPlan424	turn around to your right then move a little	go	cabinet	go	showerglass	False
FloorPlan424	open the cabinet on your left and put it the soap	put	cabinet	put	handtowelholder	False
FloorPlan424	turn around to face the counter between the two sink	go	countertop	go	countertop	True
FloorPlan424	pick up the bar of soap that is on the back of the counter between the two sink	pick	soapbar	pick	toiletpaper	False
FloorPlan424	move to the right to face the sink on the right	go	sinkbasin	put	countertop	False
FloorPlan424	put the bar of soap in to the sink turn on the water to rinse off the soap turn off the water and remove the soap from the sink	clean	soapbar	put	sinkbasin	False
FloorPlan424	move back slightly away from the sink	go	cabinet	go	showerglass	False
FloorPlan424	open the left cabinet door below the sink on the right and put the bar of soap in to the cabinet and close the door	put	cabinet	put	cabinet	True
FloorPlan424	turn around to face the counter	go	countertop	go	countertop	True
FloorPlan424	pick up the bar of soap off of the counter	pick	soapbar	pick	soapbar	True
FloorPlan424	turn around and walk towards the door then turn left and walk forward turn left again to face the sink	go	sinkbasin	put	countertop	False
FloorPlan424	put the bar of soap in the right sink basin and turn on the water after a couple second turn the water off and remove the now clean bar of soap	clean	soapbar	put	sinkbasin	False
FloorPlan424	turn around and walk towards the wall then turn left and walk towards the shower turn left again to face the counter	go	cabinet	go	showerglass	False
FloorPlan424	open the second cabinet door from the right and put the clean bar of soap inside the cabinet then close the door	put	cabinet	go	cabinet	False
FloorPlan424	turn around facing sink	go	countertop	go	countertop	True
FloorPlan424	pick up bar of soap	pick	soapbar	pick	soapbar	True
FloorPlan424	turn around take one step turn left take one step turn left facing sink	go	sinkbasin	put	countertop	False
FloorPlan424	put soap in sink turn water on turn water off remove soap from sink	clean	soapbar	go	toiletpaper	False
FloorPlan424	turn around take one step turn around	go	cabinet	go	cabinet	True
FloorPlan424	open cupboard below sink put soap inside close cupboard below sink	put	cabinet	put	cabinet	True
FloorPlan10	turn right walk forward turn left to face sink	go	sinkbasin	go	sinkbasin	True
FloorPlan10	pick up the tomato that is in the sink	pick	tomato	pick	tomato	True
FloorPlan10	turn right walk forward turn right to face fridge	go	fridge	go	fridge	True
FloorPlan10	put tomato in fridge wait a minute take tomato out	cool	tomato	pick	tomato	False
FloorPlan10	turn right walk forward turn left to face stove	go	microwave	go	stoveknob	False
FloorPlan10	put tomato in microwave above stove	put	microwave	put	microwave	True
FloorPlan10	take a step right and face the sink	go	sinkbasin	go	countertop	False
FloorPlan10	pick up the tomato in the sink	pick	tomato	pick	tomato	True
FloorPlan10	turn right and walk to the fridge	go	fridge	go	fridge	True
FloorPlan10	place the tomato in the fridge to the right of the plate close the door wait a moment and take it out again	cool	tomato	put	fridge	False
FloorPlan10	turn right and walk to the stove and microwave on the left	go	microwave	go	microwave	True
FloorPlan10	place the tomato in the microwave	put	microwave	put	microwave	True
FloorPlan10	move right to the sink	go	sinkbasin	go	countertop	False
FloorPlan10	pick up a tomato in the sink	pick	tomato	pick	tomato	True
FloorPlan10	head right to the fridge	go	fridge	go	fridge	True
FloorPlan10	cool the tomato for some time and take it out	cool	tomato	pick	tomato	False
FloorPlan10	heat right to the microwave oven	go	microwave	heat	papertowelroll	False
FloorPlan10	place the tomato in the microwave oven	put	microwave	go	tomato	False
FloorPlan10	walk ahead and veer left after getting to the counter on the left walk to the sink on the left counter	go	sinkbasin	go	countertop	False
FloorPlan10	pick up the tomato in the sink	pick	tomato	pick	tomato	True
FloorPlan10	turn right and walk to the fridge	go	fridge	go	fridge	True
FloorPlan10	place the tomato in the fridge in front of the center brown bowl close the door wait a moment and take it out again	cool	tomato	put	fridge	False
FloorPlan10	turn right and walk to the stove facing it	go	microwave	go	countertop	False
FloorPlan10	place the tomato in the microwave above the stove	put	microwave	put	microwave	True
FloorPlan10	walk around the kitchen island and face the sink	go	sinkbasin	go	countertop	False
FloorPlan10	pick up the tomato from the sink	pick	tomato	pick	tomato	True
FloorPlan10	turn right and walk over to the fridge on the right	go	fridge	go	fridge	True
FloorPlan10	open the fridge door put the tomato inside of the fridge close the door open the door take the tomato out close the door	cool	tomato	put	fridge	False
FloorPlan10	turn right and walk to the stove on the left and look up at the microwave	go	microwave	go	stoveknob	False
FloorPlan10	open the microwave door put the tomato inside close the door	put	microwave	put	microwave	True
FloorPlan10	go to the sink	go	sinkbasin	go	sinkbasin	True
FloorPlan10	pick up the tomato from the sink	pick	tomato	pick	tomato	True
FloorPlan10	take the tomato to the fridge	go	fridge	go	fridge	True
FloorPlan10	chill the tomato in the fridge then remove	cool	tomato	slice	tomato	False
FloorPlan10	take the tomato to the microwave	go	microwave	go	tomato	False
FloorPlan10	warm the tomato in the microwave	put	microwave	slice	tomato	False
FloorPlan10	turn left and go to the black trash can	go	garbagecan	go	garbagecan	True
FloorPlan10	pick up the tomato from the trash can	pick	tomato	pick	tomato	True
FloorPlan10	turn around and go to the refrigerator	go	fridge	go	fridge	True
FloorPlan10	place the tomato in the refrigerator between the lettuce and tomato and close the door open the door and take out the tomato	cool	tomato	put	fridge	False
FloorPlan10	turn right and go to the microwave above the sink on the left	go	microwave	go	microwave	True
FloorPlan10	open the door put the tomato in the microwave and close the door	put	microwave	put	microwave	True
FloorPlan10	turn left walk forward to the refrigerator then turn around and face the garbage can on the floor	go	garbagecan	go	fridge	False
FloorPlan10	pick up the tomato from the garbage can	pick	tomato	pick	tomato	True
FloorPlan10	turn around towards the refrigerator	go	fridge	go	lettuce	False
FloorPlan10	cool the tomato in the refrigerator then take it out and close the refrigerator	cool	tomato	pick	tomato	False
FloorPlan10	turn right and walk forward to the sink then turn left towards the microwave above the stove top	go	microwave	go	sinkbasin	False
FloorPlan10	put the tomato in the microwave and close the microwave	put	microwave	put	microwave	True
FloorPlan10	turn left and walk to the black garbage that s in front of you and turn right to face it	go	garbagecan	go	garbagecan	True
FloorPlan10	pick up the tomato that s in front of you in the garbage	pick	tomato	pick	tomato	True
FloorPlan10	turn right and take a step then turn right to face the fridge	go	fridge	go	cabinet	False
FloorPlan10	chill the tomato in the fridge then take it back out and close the door	cool	tomato	pick	tomato	False
FloorPlan10	turn right and walk to the stove that s on your left then turn left to face it	go	microwave	go	stoveknob	False
FloorPlan10	put the tomato in the microwave	put	microwave	put	microwave	True
FloorPlan10	walk to face counter behind sink	go	countertop	go	countertop	True
FloorPlan10	pick up butter knife from under sponge on counter	pick	butterknife	pick	butterknife	True
FloorPlan10	walk to face counter to left of stove	go	cup	go	drawer	False
FloorPlan10	put knife into green cup on the left on the counter	put	cup	go	knife	False
FloorPlan10	pick up the green cup from counter	pick	cup	pick	papertowelroll	False
FloorPlan10	turn to face the kitchen sink	go	sinkbasin	go	countertop	False
FloorPlan10	put green cup into sink basin	put	sinkbasin	put	sinkbasin	True
FloorPlan10	turn right hang a left at the wall and walk to the counter on the left	go	countertop	go	shelf	False
FloorPlan10	pick up the knife under the green sponge on the counter	pick	butterknife	pick	knife	False
FloorPlan10	turn around hang a right at the wall turn right towards the fridge turn right and walk to the counter on the left	go	cup	go	shelf	False
FloorPlan10	put the knife inside the green glass in front of the spatula in the middle of the counter	put	cup	put	garbagecan	False
FloorPlan10	pick up the green glass with the knife on the counter	pick	cup	pick	cup	True
FloorPlan10	turn around and walk to the sink	go	sinkbasin	go	sinkbasin	True
FloorPlan10	put the glass with the knife inside the sink	put	sinkbasin	put	sinkbasin	True
FloorPlan10	turn right to move around the island to stand facing the counter and centered between the two chair	go	countertop	go	shelf	False
FloorPlan10	pick up the butter knife from beneath the sponge	pick	butterknife	pick	butterknife	True
FloorPlan10	turn left to move around to the other side of the island and stop facing the counter above the dishwasher	go	cup	go	countertop	False
FloorPlan10	place the knife in the green cup closest to the wall behind the counter	put	cup	put	cabinet	False
FloorPlan10	pick up the cup with the knife in it from the counter	pick	cup	pick	cup	True
FloorPlan10	turn around and face the sink	go	sinkbasin	go	countertop	False
FloorPlan10	place the cup with the knife inside in the sink	put	sinkbasin	put	countertop	False
FloorPlan10	turn around and walk towards the refrigerator turn right and go to the stove look up at the microwave	go	microwave	go	fridge	False
FloorPlan10	look in the microwave and remove the green cup	pick	cup	go	cup	False
FloorPlan10	turn around and go to the sink to your left	go	sinkbasin	go	sinkbasin	True
FloorPlan10	put the green cup in the sink	put	sinkbasin	put	sinkbasin	True
FloorPlan10	pick up the knife in the sink	pick	butterknife	pick	knife	False
FloorPlan10	place the knife inside the green cup	put	cup	put	cabinet	False
FloorPlan10	go to the microwave	go	microwave	go	drawer	False
FloorPlan10	take out the green cup	pick	cup	pick	cup	True
FloorPlan10	take the cup to the sink	go	sinkbasin	go	countertop	False
FloorPlan10	put the cup in the sink	put	sinkbasin	put	sinkbasin	True
FloorPlan10	pick up the knife from the sink on left	pick	butterknife	pick	knife	False
FloorPlan10	put the knife back in the sink on the right	put	cup	put	sinkbasin	False
FloorPlan10	walk to face microwave	go	microwave	go	microwave	True
FloorPlan10	remove green cup from microwave	pick	cup	pick	cup	True
FloorPlan10	walk to face sink	go	sinkbasin	go	countertop	False
FloorPlan10	put green cup in sink	put	sinkbasin	put	sinkbasin	True
FloorPlan10	pick up butter knife from sink	pick	butterknife	pick	butterknife	True
FloorPlan10	put butter knife into green cup inside sink	put	cup	put	sinkbasin	False
FloorPlan10	go toward the fridge turn right and move forward then turn left to face the sink	go	sinkbasin	go	countertop	False
FloorPlan10	pick up the butter knife in the sink	pick	butterknife	pick	butterknife	True
FloorPlan10	turn left and go to the wall then turn left and look up to the cabinet	go	cup	go	shelf	False
FloorPlan10	open the cabinet and put the butter knife in the rightmost cup	put	cup	put	cabinet	False
FloorPlan10	take the rightmost cup from the cabinet	pick	cup	pick	cup	True
FloorPlan10	turn left and move forward then turn left to face the sink	go	sinkbasin	go	countertop	False
FloorPlan10	put the cup in the sink	put	sinkbasin	put	sinkbasin	True
FloorPlan10	turn and walk to the sink on the right	go	sinkbasin	go	cabinet	False
FloorPlan10	pick up the butter knife from the sink	pick	butterknife	pick	butterknife	True
FloorPlan10	turn left turn left at the window and face the counter with the coffee maker on it look above the counter at the cabinet	go	cup	go	drawer	False
FloorPlan10	open both cabinet door put the knife down in the glass on the right	put	cup	put	cabinet	False
FloorPlan10	pick up the glass from the cabinet and close the door	pick	cup	pick	cup	True
FloorPlan10	turn left and walk to the sink on the left	go	sinkbasin	go	cabinet	False
FloorPlan10	put the glass inside of the sink	put	sinkbasin	put	sinkbasin	True
FloorPlan10	turn right and move to stand in front of the sink	go	sinkbasin	go	cabinet	False
FloorPlan10	pick up the butter knife from inside the sink	pick	butterknife	pick	butterknife	True
FloorPlan10	turn left and move to stand in front of the coffee maker right after the stove	go	cup	go	cabinet	False
FloorPlan10	open the cupboard above the coffee maker and place the knife in the green cup on the right	put	cup	put	cabinet	False
FloorPlan10	pick up the cup with the knife inside from the cupboard	pick	cup	pick	cup	True
FloorPlan10	turn left and carry the cup and knife to the sink	go	sinkbasin	go	drawer	False
FloorPlan10	place the cup with the knife inside in the sink	put	sinkbasin	put	countertop	False
FloorPlan308	go to the desk directly behind you	go	desk	go	window	False
FloorPlan308	pick up the disc from the left front corner of the desk	pick	cd	pick	cd	True
FloorPlan308	turn right and carry the disc to the white safe in the corner to your left	go	safe	go	window	False
FloorPlan308	put the disc in the safe	put	safe	put	safe	True
FloorPlan308	return to the desk	go	desk	go	window	False
FloorPlan308	get the disc from the far right side of the desk	pick	cd	pick	cd	True
FloorPlan308	carry the disc to the corner safe	go	safe	go	safe	True
FloorPlan308	put the disc into the safe and close the safe	put	safe	put	safe	True
FloorPlan308	turn right towards the window and turn right towards the desk	go	desk	go	drawer	False
FloorPlan308	pick up the cd from the desk	pick	cd	pick	cd	True
FloorPlan308	turn right towards the bed turn left towards the bin turn right towards the vault on your left	go	safe	go	bed	False
FloorPlan308	place the cd in the vault	put	safe	put	drawer	False
FloorPlan308	turn left towards the bed and then turn right towards the desk	go	desk	go	bed	False
FloorPlan308	pick up the cd from the desk	pick	cd	pick	cd	True
FloorPlan308	turn right towards the bed turn left towards the bin turn right towards the vault on your left	go	safe	go	bed	False
FloorPlan308	place the cd in the vault and close	put	safe	put	shelf	False
FloorPlan308	move to the desk closest to the widow	go	desk	go	desk	True
FloorPlan308	pick up the cd from the desk	pick	cd	pick	cd	True
FloorPlan308	move to the safe to the right of you to the left of the mirror	go	safe	go	safe	True
FloorPlan308	place the cd inside and close the door	put	safe	put	drawer	False
FloorPlan308	move to the desk closest to the widow	go	desk	go	desk	True
FloorPlan308	pick up the cd from the desk	pick	cd	pick	cd	True
FloorPlan308	move to the safe to the right of you to the left of the mirror	go	safe	go	safe	True
FloorPlan308	place the cd inside and close the door	put	safe	put	drawer	False
FloorPlan308	turn around and head to the desk	go	desk	go	window	False
FloorPlan308	pick up the cd on the left	pick	cd	pick	cd	True
