scene 	 instruction 	 expected_object 	 expected_affordance 	 actual_object 	 actual_affordance 	 success
FloorPlan25	pick up the fork on the counter to the left of the microwave	pick	fork	pick	fork	True
FloorPlan25	turn around walk forward slightly then turn right and walk to the sink	go	sinkbasin	go	sinkbasin	True
FloorPlan25	put the fork in the sink rinse it off and take it back out	clean	fork	put	sinkbasin	False
FloorPlan25	turn left towards the stove top	go	drawer	put	stoveburner	False
FloorPlan25	put the fork in the top drawer just to the right of the stove top then close the drawer	put	fork	close	drawer	False
FloorPlan25	turn left to the table	go	countertop	break	window	False
FloorPlan25	pick up a knife from the table	pick	knife	pick	knife	True
FloorPlan25	turn right to the fridge	go	tomato	go	fridge	False
FloorPlan25	slice the tomato in the fridge	slice	tomato	slice	tomato	True
FloorPlan25	move to the fridge	go	fridge	put	fridge	False
FloorPlan25	drop the knife in the fridge	put	knife	close	fridge	False
FloorPlan25	move to the tomato slice	go	fridge	slice	tomato	False
FloorPlan25	pick up a tomato slice	pick	tomato	pick	tomato	True
FloorPlan25	head left to the oven	go	microwave	put	stoveburner	False
FloorPlan25	cook the tomato slice in the oven	heat	tomato	cook	potato	False
